gml_id,oid,aktualit,art,name,schluessel,gemeinde,gmdschl
DE099334,DE099334,2023-07-07Z,Gemarkung,Herrnhausen,"099334",Eurasburg,"09173123"
DE098286,DE098286,2023-08-26Z,Gemarkung,Wimpasing,"098286","Attenkirchen;Zolling","09178115;09178157"
DE097234,DE097234,2023-08-31Z,Gemarkung,Rettenbergen,"097234",Gersthofen,"09772147"
DE092071,DE092071,2023-08-24Z,Gemarkung,Schönbrunn,"092071",Wunsiedel,"09479169"
DE098280,DE098280,2023-08-26Z,Gemarkung,Dürnhaindlfing,"098280",Wolfersdorf,"09178156"
DE093429,DE093429,2023-06-13Z,Gemarkung,Grub,"093429",Burgthann,"09574117"
DE092066,DE092066,2023-08-24Z,Gemarkung,Leutendorf,"092066","Bad Alexandersbad;Marktredwitz","09479111;09479136"
DE097731,DE097731,2023-08-11Z,Gemarkung,Premach,"097731",Ursberg,"09774116"
DE097424,DE097424,2023-03-25Z,Gemarkung,Stotzard,"097424",Aindling,"09771114"
DE098830,DE098830,2023-08-30Z,Gemarkung,Obertaufkirchen,"098830",Obertaufkirchen,"09183135"
DE098164,DE098164,2023-08-18Z,Gemarkung,Geisenfeldwinden,"098164",Geisenfeld,"09186122"
DE092510,DE092510,2023-07-25Z,Gemarkung,Plössen,"092510",Speichersdorf,"09472190"
DE093294,DE093294,2023-02-01Z,Gemarkung,Buchklingen,"093294",Emskirchen,"09575121"
DE097725,DE097725,2023-08-11Z,Gemarkung,Münsterhausen,"097725",Münsterhausen,"09774160"
DE097705,DE097705,2023-08-11Z,Gemarkung,Oberbleichen,"097705",Deisenhausen,"09774124"
DE098262,DE098262,2023-08-26Z,Gemarkung,Hemhausen,"098262",Au i.d.Hallertau,"09178116"
DE098829,DE098829,2023-08-30Z,Gemarkung,Oberornau,"098829",Obertaufkirchen,"09183135"
DE097221,DE097221,2023-08-31Z,Gemarkung,Emersacker,"097221",Emersacker,"09772137"
